GEOID,COUNTY,POP_TOT,MALE_POP,FEMALE_POP,GDP,DEGREE_TOT,BACHELOR,MASTER,PROFFE,DOCTOR,TOT_NO_INS,MALE_INS,FEMALE_INS,BOTH_INS,TOT_POV,MALE_POV,FEMALE_POV,TOT_COMM,OTHER_COMM
05129,"Searcy County, Arkansas",7938,3974,3964,21475,5871,528,284,25,11,7847,577,470,1047,1619,801,818,2964,57
05131,"Sebastian County, Arkansas",127351,62214,65137,23916,83893,10756,3354,993,660,126307,8597,8648,17245,27745,12465,15280,54324,318
05033,"Crawford County, Arkansas",61927,30446,31481,22104,41418,3906,1180,266,260,61391,4086,3761,7847,11491,5578,5913,25208,36
05007,"Benton County, Arkansas",245231,121493,123738,30611,158777,32516,12489,2548,1228,243727,14477,13504,27981,27562,12673,14889,114069,559
05017,"Chicot County, Arkansas",11189,5452,5737,20560,7728,718,220,58,19,10515,645,698,1343,3252,1320,1932,3660,94
05059,"Hot Spring County, Arkansas",33440,17232,16208,20868,23482,2021,992,90,63,31449,1774,1924,3698,5347,2268,3079,13107,89
05071,"Johnson County, Arkansas",26025,12928,13097,18757,17050,1813,687,126,92,25840,1881,1459,3340,5418,2471,2947,10120,163
05077,"Lee County, Arkansas",9781,5575,4206,15610,6939,368,181,10,7,8175,746,424,1170,2447,1051,1396,2717,27
05087,"Madison County, Arkansas",15761,7918,7843,23203,10820,809,202,106,109,15678,1179,1161,2340,2823,1179,1644,6622,81
05049,"Fulton County, Arkansas",12186,6031,6155,19674,8909,605,360,8,10,12018,855,519,1374,2769,1319,1450,4275,40
05061,"Howard County, Arkansas",13487,6493,6994,23627,9063,945,416,62,4,13311,970,1054,2024,2605,991,1614,5356,65
05093,"Mississippi County, Arkansas",44199,21480,22719,20378,28100,2223,1001,120,207,43396,3023,2957,5980,11057,4678,6379,16709,330
05117,"Prairie County, Arkansas",8334,4093,4241,22653,5997,555,166,51,9,8201,517,476,993,1617,713,904,3326,46
05139,"Union County, Arkansas",40334,19599,20735,23463,27433,3875,1036,258,106,39945,2664,2555,5219,8220,3472,4748,16000,46
05023,"Cleburne County, Arkansas",25587,12731,12856,26189,18821,1817,690,242,146,25237,1877,1596,3473,3901,1728,2173,9625,135
05025,"Cleveland County, Arkansas",8421,4216,4205,23171,5760,594,250,52,11,8331,363,432,795,1671,752,919,3152,64
05057,"Hempstead County, Arkansas",22208,10653,11555,18817,14775,1173,614,31,46,21968,1548,1656,3204,5861,2623,3238,8480,98
05135,"Sharp County, Arkansas",17027,8345,8682,20078,12290,767,348,65,60,16849,1353,1114,2467,3711,1510,2201,5799,93
05143,"Washington County, Arkansas",219930,109797,110133,26371,131905,23824,10905,3603,2792,218127,16238,13283,29521,40272,18790,21482,103030,377
05003,"Ashley County, Arkansas",20989,10185,10804,20703,14337,1330,475,70,73,20822,1224,1312,2536,4131,1946,2185,7856,179
05031,"Craighead County, Arkansas",102884,50128,52756,25594,65447,10543,4154,973,948,101881,7715,6191,13906,18682,8451,10231,46201,344
