GEOID,NAME,B01003_001E,C17002_001E,B23025_005E,B15003_016E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25024_001E,B25033_001E,B25014_001E,B25044_001E,POV,UNEMP,PCI,NOHSDP,SNGPNT,MUNIT,MOBILE,CROWD,NOVEH,GROUPQ,MINORITY,NTVAMRCN,Occurrence
13021,"Bibb County, Georgia",156711,150265,5427,2202,13612,8025,3101,1435,71725,150777,58752,58752,0.252453997936978,0.07740803605813804,27800,0.11461849113291844,0.5643921885833141,0.11479958173579645,0.037293486407078004,0.013854847494553377,0.11528118191721133,0.037865880506154644,0.6313277306634506,0.00179949078239562,0
13023,"Bleckley County, Georgia",12562,11278,381,93,715,375,83,131,5201,11292,4232,4232,0.1803511260861855,0.07709429380817483,23599,0.11285189718482247,0.43416856492027334,0.004037685060565276,0.19376549769748494,0.015359168241965973,0.029773156899810964,0.10109855118611687,0.3219232606272886,0,0
13025,"Brantley County, Georgia",18072,17993,315,144,308,396,101,4,8133,18010,6625,6625,0.16812093591952426,0.04736129905277402,19942,0.1755498474875582,0.379369768586903,7.377351530800443e-4,0.5885619100499723,0.012377358490566037,0.04679245283018868,0.003430721558211598,0.08621071270473657,9.9601593625498e-4,0
13027,"Brooks County, Georgia",16254,16106,504,460,1251,492,66,94,7343,16111,6004,6004,0.23109400223519186,0.07098591549295774,27821,0.14384045181786087,0.4696275071633238,0.02914340187934087,0.3497610328347092,0.02948034643570953,0.06295802798134577,0.008797834379229728,0.44918173987941434,0,0
13029,"Bryan County, Georgia",43278,43020,1283,350,5718,2682,368,342,16137,43189,14796,14796,0.08816829381682938,0.06292608759625289,35589,0.06428597697767646,0.2627070707070707,0.023610336493772078,0.09944661835189515,0.01493646931603136,0.03764530954311976,0.0020564721105411523,0.28677388049355335,0.0018485142566662045,0
13031,"Bulloch County, Georgia",79635,69607,3489,605,7525,3337,618,1155,32570,69917,28917,28917,0.22512103667734568,0.09063279301745636,25882,0.10445523506903265,0.4331816020110062,0.08532391771568928,0.17197534219145558,0.019504097935470484,0.05180343742435246,0.12203176995039869,0.3718214352985496,0.002134739750109876,0
13033,"Burke County, Georgia",24231,23837,625,105,1722,469,75,81,10980,24028,8742,8742,0.15350086000755128,0.05646399855452164,27921,0.1540149754712109,0.41908342284282135,0.012112932604735883,0.31704677875811554,0.01246854266758179,0.0967741935483871,0.008377697990177872,0.5242045313854153,0,0
13035,"Butts County, Georgia",24950,22269,485,258,1409,408,182,146,9436,22362,8440,8440,0.19111769724729444,0.04792016599150282,25902,0.17383400556723283,0.524512952258617,0.0038151759220008477,0.0938645917180932,0.022156398104265403,0.03246445497630332,0.10372745490981963,0.3452905811623247,0.00080160320641282565,0
13037,"Calhoun County, Georgia",5668,3845,250,116,315,122,47,4,2066,3845,1457,1457,0.2611183355006502,0.1506931886678722,16401,0.20692905962762198,0.6255656108597285,0.01452081316553727,0.3139141742522757,0.01990391214824983,0.08785175017158545,0.32163020465772757,0.6767819336626676,0,0
13039,"Camden County, Georgia",54256,52011,1069,789,4590,2179,489,322,22393,52406,20032,20032,0.15996616100440292,0.045822795662051524,32003,0.05909770974795714,0.42631147540983605,0.037690349662841065,0.10260275540968591,0.014826277955271566,0.0562599840255591,0.03409761132409319,0.30641772338543205,0.006561486287230905,0
